,Prior,,,,,,,
Parameters,,Dist,Mean,St. Dev,MSV,AR(1),REE,REE-RS
$\phi$,,Normal,4,1.5,6.66,2.2,6.79,5.9
$\sigma_c$,,Normal,1.5,0.375,1.44,0.36,1.83,1.25
$\lambda$,,Beta,0.7,0.1,0.82,0.81,0.71,0.54
$\xi_w$,,Beta,0.5,0.1,0.74,0.62,0.76,0.76
$\sigma_l$,,Normal,2,0.75,0.91,1.7,1.13,2.03
$\xi_p$,,Beta,0.5,0.1,0.7,0.72,0.72,0.89
$\iota_w$,,Beta,0.5,0.15,0.54,0.48,0.37,0.41
$\iota_p$,,Beta,0.5,0.15,0.44,0.31,0.18,0.29
$\psi$,,Beta,0.5,0.15,0.88,0.79,0.9,0.38
$\phi_p$,,Normal,1.25,0.125,1.48,1.38,1.5,1.56
$r_{\pi}$,,Normal,1.25,0.25,0.89,0.53,1.75,1.59
$\rho$,,Beta,0.75,0.1,0.63,0.87,0.86,0.86
$r_y$,,Normal,0.125,0.05,0.1,0.17,0.06,0.17
$r_{dy}$,,Normal,0.125,0.05,0.06,0.001,0.07,0.14
$\bar{\pi}$,,Gamma,0.625,0.1,0.28,0.46,0.68,0.66
$\bar{\beta}$,,Gamma,0.25,0.1,0.14,0.07,0.21,0.25
$\bar{l}$,,Normal,0,2,-1.36,0.83,0.98,1.03
$\bar{\gamma}$,,Normal,0.4,0.1,0.38,0.36,0.35,0.44
$\alpha$,,Normal,0.3,0.05,0.21,0.12,0.2,0.17
$\rho_a$,,Beta,0.5,0.2,0.99,0.99,0.99,0.96
$\rho_b$,,Beta,0.5,0.2,0.65,0.61,0.32,0.88
$\rho_g$,,Beta,0.5,0.2,0.93,0.99,0.94,0.97
$\rho_i$,,Beta,0.5,0.2,0.84,0.39,0.82,0.75
$\rho_r$,,Beta,0.5,0.2,0.56,0.63,0.48,0.54
$\rho_p$,,Beta,0.5,0.2,0.04,0.04,0.95,0.81
$\rho_w$,,Beta,0.5,0.2,0.18,0.07,0.93,0.94
$\mu_p$,,Beta,0.5,0.2,0.56,0.85,0.82,0.9
$\mu_w$,,Beta,0.5,0.2,0.4,0.59,0.96,0.91
$\rho_{ga}$,,Beta,0.5,0.2,0.41,0.37,0.46,0.38
$\eta_a$,,Inv. Gamma,0.1,2,0.36,0.39,0.38,0.38
$\eta_b$,,Inv. Gamma,0.1,2,0.17,0.76,0.18,0.26
$\eta_g$,,Inv. Gamma,0.1,2,0.35,0.38,0.4,0.06
$\eta_i$,,Inv. Gamma,0.1,2,0.37,1.15,0.31,0.38
"$\eta_{r,N}$",,Inv. Gamma,0.1,2,0.09,0.1,0.08,0.29
"$\eta_{r,ZLB}$",,Gamma,0.03,0.01,0.01,0.01,,0.03
$\eta_p$,,Inv. Gamma,0.1,2,0.09,0.14,0.11,0.15
$\eta_w$,,Inv. Gamma,0.1,2,0.43,0.73,0.49,0.41
$gain$,,Gamma,0.035,0.015,0.02,0.02,,
$1-p_{11}$,,Beta,0.1,0.05,0.03,0.03,,0.007
$1-p_{22}$,,Beta,0.1,0.05,0.13,0.13,,0.26
$\bar{r_{zlb}}$,,Normal,0.05,0.25,0.03,0.03,,0.04
,,,,,,,,
Laplace,,,,,-608.2664642,-564.6348755,-578.9292912,-563.02
