,Prior,,,,
Parameters,,Dist,Mean,St. Dev,
$\phi$,,Normal,4,1.5,6.79
$\sigma_c$,,Normal,1.5,0.375,1.83
$\lambda$,,Beta,0.7,0.1,0.71
$\xi_w$,,Beta,0.5,0.1,0.76
$\sigma_l$,,Normal,2,0.75,1.13
$\xi_p$,,Beta,0.5,0.1,0.72
$\iota_w$,,Beta,0.5,0.15,0.37
$\iota_p$,,Beta,0.5,0.15,0.18
$\psi$,,Beta,0.5,0.15,0.9
$\phi_p$,,Normal,1.25,0.125,1.5
$r_{\pi}$,,Normal,1.25,0.25,1.75
$\rho$,,Beta,0.75,0.1,0.86
$r_y$,,Normal,0.125,0.05,0.06
$r_{dy}$,,Normal,0.125,0.05,0.07
$\bar{\pi}$,,Gamma,0.625,0.1,0.68
$\bar{\beta}$,,Gamma,0.25,0.1,0.21
$\bar{l}$,,Normal,0,2,0.98
$\bar{\gamma}$,,Normal,0.4,0.1,0.35
$\alpha$,,Normal,0.3,0.05,0.46
$\rho_a$,,Beta,0.5,0.2,0.2
$\rho_b$,,Beta,0.5,0.2,0.99
$\rho_g$,,Beta,0.5,0.2,0.32
$\rho_i$,,Beta,0.5,0.2,0.94
$\rho_r$,,Beta,0.5,0.2,0.82
$\rho_p$,,Beta,0.5,0.2,0.48
$\rho_w$,,Beta,0.5,0.2,0.95
$\mu_p$,,Beta,0.5,0.2,0.93
$\mu_w$,,Beta,0.5,0.2,0.82
$\rho_{ga}$,,Beta,0.5,0.2,0.96
$\eta_a$,,Inv. Gamma,0.1,2,0.38
$\eta_b$,,Inv. Gamma,0.1,2,0.18
$\eta_g$,,Inv. Gamma,0.1,2,0.4
$\eta_i$,,Inv. Gamma,0.1,2,0.31
"$\eta_{r,N}$",,Inv. Gamma,0.1,2,0.08
"$\eta_{r,ZLB}$",,Gamma,0.03,0.01,
$\eta_p$,,Inv. Gamma,0.1,2,0.11
$\eta_w$,,Inv. Gamma,0.1,2,0.49
$gain$,,Gamma,0.035,0.015,
$1-p_{11}$,,Beta,0.1,0.05,
$1-p_{22}$,,Beta,0.1,0.05,
$\bar{r_{zlb}}$,,Normal,0.05,0.25,
,,,,,
Laplace,,,,,-578.9292912
