,Prior,,,AR(1),MSV,REE,RISE
Parameters,,Dist,Mean,Mode,,,
$\phi$,,Normal,4,1.59,3.81,4.87,6.4
$\sigma_c$,,Normal,1.5,0.55,0.61,1.36,1.14
$\lambda$,,Beta,0.7,0.73,0.8,0.75,0.83
$\xi_w$,,Beta,0.5,0.7,0.78,0.93,0.95
$\sigma_l$,,Normal,2,2.22,2.12,1.98,1.74
$\xi_p$,,Beta,0.5,0.61,0.64,0.8,0.83
$\iota_w$,,Beta,0.5,0.46,0.72,0.84,0.81
$\iota_p$,,Beta,0.5,0.35,0.11,0.07,0.08
$\psi$,,Beta,0.5,0.7,0.8,0.83,0.69
$\phi_p$,,Normal,1.25,1.41,1.54,1.59,1.56
$r_{\pi}$,,Normal,1.25,1.6,1.37,1.5,1.35
$\rho$,,Beta,0.75,0.88,0.73,0.85,0.86
$r_y$,,Normal,0.125,0.11,0.08,0.05,0.06
$r_{dy}$,,Normal,0.125,0.15,0.07,0.17,0.19
$\bar{\pi}$,,Gamma,0.625,0.7,0.69,0.75,0.76
$\bar{\beta}$,,Gamma,0.25,0.2,0.14,0.21,0.25
$\bar{l}$,,Normal,0,0.29,1.17,-1.2,0.15
$\bar{\gamma}$,,Normal,0.4,0.39,0.4,0.4,0.41
$\alpha$,,Normal,0.3,0.14,0.18,0.17,0.18
$\rho_a$,,Beta,0.5,0.96,0.96,0.96,0.95
$\rho_b$,,Beta,0.5,0.45,0.49,0.36,0.29
$\rho_g$,,Beta,0.5,0.99,0.99,0.98,0.98
$\rho_i$,,Beta,0.5,0.42,0.84,0.83,0.76
$\rho_r$,,Beta,0.5,0.16,0.31,0.08,0.16
$\rho_p$,,Beta,0.5,0.03,0.79,0.81,0.78
$\rho_w$,,Beta,0.5,0.07,0.15,0.06,0.05
$\mu_p$,,Beta,0.5,0.5,,,
$\mu_w$,,Beta,0.5,0.5,,,
$\rho_{ga}$,,Beta,0.5,0.5,0.51,0.53,0.51
$\eta_a$,,Inv. Gamma,0.1,0.46,0.44,0.44,0.45
$\eta_b$,,Inv. Gamma,0.1,0.78,0.21,0.21,0.23
$\eta_g$,,Inv. Gamma,0.1,0.48,0.48,0.49,0.48
$\eta_i$,,Inv. Gamma,0.1,1.35,0.38,0.36,0.34
"$\eta_{r,N}$",,Inv. Gamma,0.1,0.21,0.23,0.21,0.23
"$\eta_{r,ZLB}$",,Gamma,0.03,0.01,0.01,,0.01
$\eta_p$,,Inv. Gamma,0.1,0.27,0.06,0.05,0.06
$\eta_w$,,Inv. Gamma,0.1,0.74,0.36,0.37,0.37
$gain$,,Gamma,0.035,0.01,0,,
$1-p_{11}$,,Beta,0.1,0.02,0.02,,0.01
$1-p_{22}$,,Beta,0.1,0.13,0.13,,0.29
$\bar{r_{zlb}}$,,Normal,0.05,0.03,0.03,,0.03
,,,,,,,
Laplace,,,,-1109.554264,-1184.97125,-1213.139396,-1171.077647
